Month,Year,Review,Rating,Platform
June ,2021,"Someone in the prep kitchen LOVES salt! The mushroom soup, eggplant parm and capellini brushetta was just too salty to enjoy. Why is salt even used when it can be added at home! Sorry, will not try any more of the take-out. The plastic lids on the take-out containers were too large and not secure. The cashier kindly taped them closed. She said it is a continuing problem.",3,TripAdvisor
November,2020,"Great looking store in Warminster but...just like a previous reviewer stated, they screwed up my sandwich order BIG time. I live 20 minutes away, so not like I could return it easily. Ordered an Italian hoagie with oil and vinegar. Got a roast pork hoagie with no tomatoes, loaded with mayo. Completely different. Beware sandwich orders.",1,TripAdvisor
February,2020,Always friendly workers very helpful and fresh foods Love their fresh sausages. Wide variety of cheeses Pasta variety,5,TripAdvisor
February,2020,"A local gem which also provides specialty Italian food and take away (stromboli), great deli, sandwich shop, cheese department, desserts. They also have a great freezer section with many of their own store made items:soups/sauces/meals. They also offer frequent shopper bonus points. Often stop to bring requested items for family members in New England.",4,TripAdvisor
January,2020,"Countless times I have ordered sandwiches from this location as well as Doylestown. Most times our sandwiches are not made correctly. I ordered a steak sandwich with mozzarella cheese and they charged for a pizza steak. The girl that took my order heard mozzarella and thought it was a pizza steak but I asked for no sauce.Arrived at 5:30 PM to order a hot sandwich and was told the grill is off. Then they overcharge me for something I didn’t get. These people are so disconnected from the customer,. They do not read the order back and then I swear they make it the way the think it should be!!. I live across the street from their store in Warminster and I work 1/2 mile from the one in Doylestown and I refuse to order sandwiches especially for my staff because they think I’m an idiot for ordering from there when they don’t get what they want.Fancy stores, not fancy service by any stretch of the imagination.And one more thing, if you notice the older individuals are taking the money at the registers, they have the young people in the back making the sandwiches. They don’t care if they screw up your lunch or dinner order, but they sure and he’ll make sure they’re sharp enough to take your money.",2,TripAdvisor
January ,2020,"Their special Italian hoagie- TO DIE FOR! I got the ziti out of the freezer... had it tonight-YUM! Whatever you get, it will be great. Weird location, but worth finding it.",5,TripAdvisor
December,2019,"Honestly, so much to love! Deli meats and cheeses, unbelievable selection. Love the sliced pork, cheese (sharp provolone, asiago), pork broth (freezer) & breàd. Tip of the iceberg... prepared food, Italian food/products, made-to-order food. Very friendly helpful staff!!",5,TripAdvisor
August,2019,Great Italian food !! Had the meatballs and roasted veggies. They did a very nice catering for about 30 people. Would recommend !!,4,TripAdvisor
December,2019,"I have visited Italy many times & this store has a great selection of authentic prepared food as well as ingredients imported from Italy. It’s our go to place for every party that we cater, fine groceries, & late minute dinner take-out.",5,TripAdvisor
July,2019,"Thousands of items to choose from. Sandwiches, salads, or take home Italian specialties of the house. All good home made delicacies.",4,TripAdvisor
November,2019,"Walking in the door, I am swept to paradise. I come alive. Searching for special anchovies, olive oil and bread as a gift made an otherwise hum drum outing exciting. I adore Altamontes. It’s almost a vacation!",5,TripAdvisor
November ,2019,"My sister and I organised a party and we had food catered by Altomonte. We dealt with Laura, we couldn’t have done it without her help. I cannot express in words how satisfied we were with everything that Altomonte provided. To start with we ordered at the We also asked for food that was different to their standard catering menu and, again, no problems whatsoever. very last minute, less 24 hours before the event, and Laura had no problems with this.We also asked for food that was different to their standard catering menu and, again, no problems whatsoever.Laura was reassuring and accommodated us and went the extra mile to make us happy. We were let down by another catering company and she totally understood the urgency and importance of being spot on. And she was super spot on. Food was delicious (we are Italians and food lovers and couldn’t fault anything). Everyone complemented us for the food quantity and quality. The pulled pork was outstanding, the farfalle were super delicious, the salmon was succulent, the shells very tasty and I could carry on more and more. Delivery was on time and no issues with anything and the price was very competitive too.
If you are looking for a catering company, don’t waste time researching anywhere else. Look no further than Altomonte. Thanks everyone, life savers!",5,TripAdvisor
October,2019,Had the chicken parm and the baked ziti as a carry out option and it was delicious. Would definitely recommend and would definitely get again.,5,TripAdvisor
August,2019,I load up before each weekend! Take everything to the shore so I’m ready and don’t be have to worry who shows up. Our faves are spaghetti and the meatballs. Also bed tips over butter noodles! Fantastic and everyone raves!,5,TripAdvisor
July,2019,"Altomonte's is an institution! It stocks everything imaginable in terms of fruit, vegetables, meats, deli items, readymade platters ...wine and beer .... and sandwich/hoagie making as well as a hot bar ... all with an Italian flavor.",5,TripAdvisor
July,2019,The place is welcoming and food delicious. Love the hoagies. Love the deserts too. Easy to park staff helpful,4,TripAdvisor
July,2019,"mazing market/Cafe for all types of lunch, dinner, dessert or beverage! Service was outstanding. Wish I had a place like this closer to home.",5,TripAdvisor
July,2019,This is actually Italian food market with freshly made entrées every day and pizza. It does have a small eating area where are you can consume what you purchased but not what I would consider an actual restaurant. The staff is usually very attentive and offers a samples. Many Italian pastas and sauces are availabl,4,TripAdvisor
June ,2019,"First, I have been a infrequent customer at the Doylestown location since it opened.
It has in general been a very good experience.
However on a few occasions there has been things to point out and this, unfortunately, was one. My favorite bread to buy at Altomontes is the round brick oven bread, so delicious when delivered fresh from the bakery, but unfortunately that's not always the case.
When I early this week picked up a loaf, I to be on the sure side, asked the person in the baked gods, if she knew if the bread was fresh that morning, she assured me that, it was always fresh, every day. Not so, the bread was at least one day old, more likely two. I have previously had this happen, and has, by manager on duty, been told , that "" the bread keeps so well "" that they typically put it out for a couple days. When I wrote a complaint on Altomontes web side, it has up to now been ignored, but I guess that's to be expected. Will I recommend Altomontes after the last experience, not so much, and if I do it will be with a caution. Will I not shop there? Not so sure. I will in any case not go there for bread.",2,TripAdvisor
June,2019,"Ordered veal picatta for a family gathering it was delicious! I have shopped there for other occasions to get ingredients for antipasto. They have a huge variety of specialty items, cheeses, olives, etc. and everyone was helpful and friendly. Its is nice to have a market/restaurant like this in the area.",4,TripAdvisor
June,2019,So fresh and delightfully stocked with many goodies to choose from! It’s a favorite of ours! We consider the yogurt parfaits a treat for a hard week at work. Yum!,5,TripAdvisor
June,2019,Authentic Italian — love the breads and sauces. Great selection of meats and delicatessen. Parking available,4,TripAdvisor
May,2019,"Altomonte's will customize your favorite sandwich or salad so you can enjoy it in their onsite dining area. Desserts and wines are available, too. Well Done!!",5,TripAdvisor
May,2019,Yes they have selection and if you are the kind of person who likes to shop at Whole Foods you will find this place a bargain. If you shop at normal grocery stores you will have a hard time justifying the prices other then you feel like going on a splurge. Place fits in perfectly with the she-she class of Doylestown living.,3,TripAdvisor
May,2019,"We love Altimontes. The new store is magnificent and huge. We always went to the original one as well as the store in Warminister. My husbands favorite is to buy the pasta fagiole . It is even better than my homemade. We love all the meats and cheeses . Always fresh and a large variety. We buy lunch meat, sausage and their breads are the best on a weekly basis . Oops forgot the olives and pickles . Mmm good. Highly recommend Altimontes. Forgot they now sell wine",5,TripAdvisor
April,2019,"This is THE go-to place for superb Italian groceries and deli items. Excellent carry-out sandwiches and pizzas, and a nice but very casual sit-down dining area. A bit pricey compared to a typical grocery store, but the quality is well worth it.",5,TripAdvisor
March,2019,This is a fabulous store and we are fortunate to have it near by. The selection is first rate and the service is excellent. Their lunch meat is always good and fairly priced and fresh cut bacon is fabulous in the summer on but sandwiched. Many good things to discover there,5,TripAdvisor
March,2019,"Not sure of the appeal of Altomonte’s for sandwiches/lunch foods. Slow service, average sandwiches, rude staff. Waited over 30 minutes for two mediocre sandwiches, and told by the counter staff “everyone wants their sandwich in five minutes, we’re busy.” Would have been much better off at Wawa; it’s cheaper, faster, and just as good. Maybe this is the place for specialty Italian grocery items, but you will pay a premium over other area markets",3,TripAdvisor
February,2019,"Awesome market. Fresh produce , high quality meats enticmg sandwiches to eat in or take out. Every employee is helpful and cheerful",5,TripAdvisor
